ticket_id,customer_id,issue_type,issue_description,ticket_status,created_timestamp
TKT000095,CUST000269,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-03-20 08:15:48.090086
TKT000096,CUST000332,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,CLOSED,2026-06-12 08:15:48.090086
TKT000097,CUST000312,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-04-27 08:15:48.090086
TKT000098,CUST000202,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,IN_PROGRESS,2026-02-09 08:15:48.090086
TKT000099,CUST000314,CARD_DECLINED,Customer's card was declined at Croma. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,CLOSED,2026-06-21 08:15:48.090086
TKT000100,CUST000154,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,CLOSED,2026-07-06 08:15:48.090086
TKT000101,CUST000175,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-06-06 08:15:48.090086
TKT000102,CUST000051,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-05-04 08:15:48.090086
TKT000103,CUST000426,DISPUTE,Customer disputes a duplicate charge from Swiggy. Raised a chargeback and provisionally credited the amount.,OPEN,2026-05-19 08:15:48.090086
TKT000104,CUST000178,CARD_DECLINED,Customer's card was declined at Flipkart. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-03-18 08:15:48.090086
TKT000105,CUST000025,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-06-19 08:15:48.090086
TKT000106,CUST000409,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,OPEN,2026-04-19 08:15:48.090086
TKT000107,CUST000256,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,OPEN,2026-03-30 08:15:48.090086
TKT000108,CUST000241,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-06-24 08:15:48.090086
TKT000109,CUST000166,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,OPEN,2026-07-18 08:15:48.090086
TKT000110,CUST000030,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-07-06 08:15:48.090086
TKT000111,CUST000259,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-04-29 08:15:48.090086
TKT000112,CUST000119,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-04-27 08:15:48.090086
TKT000113,CUST000480,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-05-26 08:15:48.090086
TKT000114,CUST000149,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-06-21 08:15:48.090086
TKT000115,CUST000099,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-05-24 08:15:48.090086
TKT000116,CUST000143,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,IN_PROGRESS,2026-05-05 08:15:48.090086
TKT000117,CUST000209,CARD_DECLINED,Customer's card was declined at Amazon India. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-07-02 08:15:48.090086
TKT000118,CUST000192,CARD_DECLINED,Customer's card was declined at Croma. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-02-03 08:15:48.090086
TKT000119,CUST000404,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,OPEN,2026-07-23 08:15:48.090086
TKT000120,CUST000195,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-05-25 08:15:48.090086
TKT000121,CUST000075,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-04-04 08:15:48.090086
TKT000122,CUST000488,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-05-14 08:15:48.090086
TKT000123,CUST000034,CARD_DECLINED,Customer's card was declined at Croma. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-06-06 08:15:48.090086
TKT000124,CUST000235,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,IN_PROGRESS,2026-03-27 08:15:48.090086
TKT000125,CUST000362,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,OPEN,2026-06-29 08:15:48.090086
TKT000126,CUST000194,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,IN_PROGRESS,2026-06-21 08:15:48.090086
TKT000127,CUST000407,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,RESOLVED,2026-03-26 08:15:48.090086
TKT000128,CUST000049,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",OPEN,2026-06-06 08:15:48.090086
TKT000129,CUST000165,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-07-08 08:15:48.090086
TKT000130,CUST000493,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",CLOSED,2026-07-16 08:15:48.090086
TKT000131,CUST000273,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-06-01 08:15:48.090086
TKT000132,CUST000198,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-02-10 08:15:48.090086
TKT000133,CUST000455,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,CLOSED,2026-07-21 08:15:48.090086
TKT000134,CUST000040,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-04-15 08:15:48.090086
TKT000135,CUST000409,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-01-29 08:15:48.090086
TKT000136,CUST000153,DISPUTE,Customer disputes a duplicate charge from MakeMyTrip. Raised a chargeback and provisionally credited the amount.,IN_PROGRESS,2026-04-17 08:15:48.090086
TKT000137,CUST000289,CARD_DECLINED,Customer's card was declined at IRCTC. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-05-30 08:15:48.090086
TKT000138,CUST000067,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,OPEN,2026-04-14 08:15:48.090086
TKT000139,CUST000079,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,RESOLVED,2026-02-10 08:15:48.090086
TKT000140,CUST000138,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,RESOLVED,2026-06-26 08:15:48.090086
TKT000141,CUST000272,CARD_DECLINED,Customer's card was declined at Croma. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-07-14 08:15:48.090086
TKT000142,CUST000127,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,OPEN,2026-05-28 08:15:48.090086
TKT000143,CUST000136,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,OPEN,2026-04-24 08:15:48.090086
TKT000144,CUST000037,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,OPEN,2026-04-13 08:15:48.090086
TKT000145,CUST000114,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-05-04 08:15:48.090086
TKT000146,CUST000147,CARD_DECLINED,Customer's card was declined at IRCTC. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-03-20 08:15:48.090086
TKT000147,CUST000455,LOAN,Customer enquired about a personal loan top-up. Shared eligibility and current interest rates; no action required.,CLOSED,2026-02-18 08:15:48.090086
TKT000148,CUST000479,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-07-24 08:15:48.090086
TKT000149,CUST000489,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-03-09 08:15:48.090086
TKT000150,CUST000069,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,CLOSED,2026-06-29 08:15:48.090086
TKT000151,CUST000315,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-04-28 08:15:48.090086
TKT000152,CUST000109,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,CLOSED,2026-06-28 08:15:48.090086
TKT000153,CUST000493,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,IN_PROGRESS,2026-06-17 08:15:48.090086
TKT000154,CUST000094,CARD_DECLINED,Customer's card was declined at Amazon India. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,OPEN,2026-01-29 08:15:48.090086
TKT000155,CUST000149,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,OPEN,2026-04-27 08:15:48.090086
TKT000156,CUST000369,GENERAL,General enquiry about interest rates on fixed deposits. Provided current rate card and closed the ticket.,IN_PROGRESS,2026-02-23 08:15:48.090086
TKT000157,CUST000133,CARD_DECLINED,Customer's card was declined at Flipkart. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,CLOSED,2026-03-21 08:15:48.090086
TKT000158,CUST000206,DISPUTE,Customer disputes a duplicate charge from Croma. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-05-25 08:15:48.090086
TKT000159,CUST000075,LOGIN,Customer unable to log in to the mobile app. Reset credentials and confirmed successful login.,RESOLVED,2026-07-19 08:15:48.090086
TKT000160,CUST000119,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,CLOSED,2026-06-11 08:15:48.090086
TKT000161,CUST000257,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-06-15 08:15:48.090086
TKT000162,CUST000345,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,RESOLVED,2026-02-03 08:15:48.090086
TKT000163,CUST000075,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,OPEN,2026-05-28 08:15:48.090086
TKT000164,CUST000245,CARD_DECLINED,Customer's card was declined at Croma. Investigation showed the card had reached its credit limit; advised customer to make a payment or request a limit increase.,RESOLVED,2026-05-31 08:15:48.090086
TKT000165,CUST000403,DISPUTE,Customer disputes a duplicate charge from Swiggy. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-04-29 08:15:48.090086
TKT000166,CUST000105,CARD_DECLINED,Transaction declined due to the card being temporarily blocked after suspected fraud. Verified customer identity and re-enabled the card.,IN_PROGRESS,2026-06-02 08:15:48.090086
TKT000167,CUST000348,FRAUD,"Customer reported an unrecognised transaction. Flagged for the fraud team, card hot-listed, and a replacement issued.",RESOLVED,2026-02-13 08:15:48.090086
TKT000168,CUST000244,DISPUTE,Customer disputes a duplicate charge from MakeMyTrip. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-05-18 08:15:48.090086
TKT000169,CUST000069,DISPUTE,Customer disputes a duplicate charge from Flipkart. Raised a chargeback and provisionally credited the amount.,CLOSED,2026-03-22 08:15:48.090086
TKT000170,CUST000204,DISPUTE,Customer disputes a duplicate charge from Amazon India. Raised a chargeback and provisionally credited the amount.,RESOLVED,2026-05-12 08:15:48.090086
